"deep","age","attitude","strategic","surface","gender","Points"
4.16666666666667,23,2.6,3.375,2.41666666666667,"F",12
4.41666666666667,21,4.4,3.75,2.41666666666667,"M",26
3.83333333333333,22,4.5,2.125,2.58333333333333,"M",31
3.33333333333333,29,3.2,2.375,3,"M",19
3.16666666666667,29,3.9,2.75,2,"F",30
3.16666666666667,21,2.5,3.125,3.41666666666667,"F",12
3.83333333333333,28,3.3,3.5,2.83333333333333,"M",17
4.25,21,3.3,2.625,2.25,"F",18
3.83333333333333,30,3,3.375,2.75,"F",19
3.66666666666667,21,2.9,2.25,3.91666666666667,"F",21
3.83333333333333,23,3.3,3,2.33333333333333,"M",24
3.83333333333333,21,3.3,4,2.75,"F",28
3.83333333333333,21,3.5,3.5,2.75,"F",17
3.66666666666667,20,3.6,2.625,2.91666666666667,"F",18
4.33333333333333,22,3.7,2.5,2.08333333333333,"M",17
3.75,21,4.2,3.75,3.66666666666667,"M",23
4.16666666666667,21,3.2,3.625,2.83333333333333,"M",26
4,20,5,4.125,3.41666666666667,"F",28
4,22,4.7,4.375,1.58333333333333,"M",31
4.58333333333333,20,3.6,2.625,2.91666666666667,"F",27
3.66666666666667,20,3.6,4,3,"F",25
3.66666666666667,24,2.9,2.75,2.91666666666667,"M",23
3.83333333333333,20,3.5,2.75,2.66666666666667,"F",21
2.58333333333333,19,4,1.375,3,"F",27
3.5,21,3.5,2.25,2.75,"F",28
3.08333333333333,21,3.2,3.625,3.08333333333333,"F",23
4.25,22,2.6,3.75,2.5,"F",21
3.16666666666667,25,2,4,2.33333333333333,"F",25
3.08333333333333,21,2.7,3.125,3,"F",11
4.16666666666667,22,3.2,3.25,3,"F",19
2.25,25,3.3,2.125,4,"F",24
3.33333333333333,20,3.9,2.875,3.25,"F",28
3.08333333333333,24,3.3,1.5,3.5,"M",21
2.75,20,3,2.5,3.5,"F",24
3.25,21,3.7,3.25,3.83333333333333,"M",24
4,20,2.5,3.625,2.91666666666667,"F",20
3.58333333333333,20,2.9,3.875,2.16666666666667,"F",19
4.08333333333333,31,3.9,3.875,1.66666666666667,"M",30
4.25,20,3.6,2.375,2.08333333333333,"F",22
3.41666666666667,22,2.9,3,2.83333333333333,"F",16
3.08333333333333,22,2.1,3.375,3.41666666666667,"F",16
3.5,21,3.1,2.75,3.33333333333333,"M",19
3.66666666666667,22,4,4.5,2.58333333333333,"M",30
4.25,21,3.1,2.625,2.83333333333333,"F",23
4.25,21,2.3,2.75,3.33333333333333,"F",19
3.83333333333333,21,2.8,3.25,3,"F",18
4.41666666666667,21,3.7,4.125,2.58333333333333,"F",28
3.5,20,2.6,3.375,2.41666666666667,"F",21
3.58333333333333,21,2.4,2.75,3.58333333333333,"F",19
3.66666666666667,25,3,4.125,2.08333333333333,"F",27
2.08333333333333,21,2.8,3.25,4.33333333333333,"M",24
4.25,24,2.9,2.875,2.66666666666667,"F",21
3.58333333333333,20,2.4,2.875,3,"F",20
4,21,3.1,2.375,2.66666666666667,"M",28
3.33333333333333,20,1.9,3.875,2.16666666666667,"F",12
3.5,20,2,2.125,2.66666666666667,"F",21
3.16666666666667,18,3.8,4,2.25,"F",28
3.58333333333333,21,3.4,3.25,2.66666666666667,"F",31
3.41666666666667,19,3.7,2.625,3.33333333333333,"F",18
4.25,21,2.9,2.75,3.5,"F",25
3.25,20,2.3,4,2.75,"F",19
4.41666666666667,21,4.1,3,2,"M",21
3.25,20,2.7,3.375,2.83333333333333,"F",16
3.91666666666667,21,3.5,3.875,3.5,"F",7
3.58333333333333,20,3.4,3.25,2.5,"F",21
4.5,18,3.2,3.375,3.16666666666667,"F",17
3.58333333333333,22,3.3,4.125,3.08333333333333,"M",22
3.66666666666667,22,3.3,3.5,2.91666666666667,"F",18
2.58333333333333,24,3.5,2,3.16666666666667,"M",25
4.16666666666667,19,3.2,3.625,2.5,"F",24
3.25,20,3.1,3.375,3.83333333333333,"F",23
4.33333333333333,20,2.8,2.125,2.25,"F",23
3.91666666666667,17,1.7,4.625,3.41666666666667,"F",26
2.66666666666667,19,1.9,2.5,3.75,"M",12
3.08333333333333,20,3.5,2.875,3,"F",32
3.75,20,2.4,2.75,2.58333333333333,"F",22
4.16666666666667,20,2.1,4,3.33333333333333,"F",20
4.16666666666667,20,2.9,2.375,2.83333333333333,"F",21
3.25,19,1.9,3.875,3,"F",23
4.08333333333333,19,2,3.375,2.83333333333333,"F",20
2.91666666666667,22,4.2,1.75,3.16666666666667,"F",28
3.83333333333333,35,4.1,3,2.75,"M",31
3.16666666666667,18,3.7,2.625,3.41666666666667,"F",18
3.41666666666667,19,3.6,2.625,3,"F",30
4.08333333333333,21,1.8,3.375,2.66666666666667,"M",19
